# Results for training distributions calculated by paper2_02_distributions.m 
# --> table in appendix of paper2 
# 
# Date: 20-Dec-2021 
# 
# Comparison of categories: none,device (reha) 
# Tick mode: 1 (single ticks) 
# Log-likelihood normalization: cat 
# Cross validation: 1 
# 
# m = 1: cafpas (N_m = 214  215  214  215  223  223  220  205  223  222) 
# 
# Parameter 1 CA1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         none           68        0.224          nan        0.099          nan        1.000          nan        -3.67        -3.74 
           4       cafpas         beta       device          155        0.459          nan        0.109          nan        1.000          nan        -3.81        -3.74 
# 
# Parameter 7 CB 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         none           68        0.171          nan        0.058          nan        1.000          nan        -3.16        -3.48 
           4       cafpas         beta       device          155        0.320          nan        0.110          nan        1.000          nan        -3.80        -3.48 
# 
# Parameter 8 CN 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         none           68        0.178          nan        0.054          nan        1.000          nan        -3.09        -3.36 
           4       cafpas         beta       device          155        0.289          nan        0.093          nan        1.000          nan        -3.64        -3.36 
# 
# Parameter 9 CC 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         none           68        0.117          nan        0.065          nan        1.000          nan        -3.20        -3.34 
           4       cafpas         beta       device          155        0.167          nan        0.084          nan        1.000          nan        -3.48        -3.34 
# 
# Parameter 10 CE 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         none           68        0.315          nan        0.114          nan        1.000          nan        -3.84        -3.83 
           4       cafpas         beta       device          155        0.290          nan        0.114          nan        1.000          nan        -3.83        -3.83 

